Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_002,,,,08-09-2026 23:20:14,08-09-2026 23:20:18,4.090s,PASSED
,,,,,,,
Test Cases/TC_Verify_Kafka_Message,,,,08-09-2026 23:20:14,08-09-2026 23:20:18,4.027s,PASSED
"bootstrapServer = ""localhost:9092""",,,,08-09-2026 23:20:14,08-09-2026 23:20:14,0.001s,PASSED
"topicName = ""tes-topik""",,,,08-09-2026 23:20:14,08-09-2026 23:20:14,0.001s,PASSED
"groupId = ""katalon-test-group""",,,,08-09-2026 23:20:14,08-09-2026 23:20:14,0.000s,PASSED
"receivedMessage = kafka.KafkaConsumerHelper.consumeLatestMessage(bootstrapServer, topicName, groupId)",,,,08-09-2026 23:20:14,08-09-2026 23:20:18,3.903s,PASSED
"logInfo(""Pesan yang diterima dari Kafka: "" + receivedMessage)",,,,08-09-2026 23:20:18,08-09-2026 23:20:18,0.008s,PASSED
"assert receivedMessage.contains(""Hello Kafka!"") : ""Pesan dari tidak Kafka sesuai!""",,,,08-09-2026 23:20:18,08-09-2026 23:20:18,0.004s,PASSED
