Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_001,,,,08-09-2026 22:17:52,08-09-2026 22:17:54,1.269s,PASSED
,,,,,,,
Test Cases/TC02_Consumer_GetPost,,,,08-09-2026 22:17:52,08-09-2026 22:17:53,0.624s,PASSED
"request = sendRequest(findTestObject(""Object Repository/API-002""))",,,,08-09-2026 22:17:53,08-09-2026 22:17:53,0.526s,PASSED
"verifyResponseStatusCode(request, 200)",,,,08-09-2026 22:17:53,08-09-2026 22:17:53,0.005s,PASSED
,,,,,,,
Test Cases/TC01_Producer_CreatePost,,,,08-09-2026 22:17:53,08-09-2026 22:17:54,0.581s,PASSED
"request = sendRequest(findTestObject(""Object Repository/API-001""))",,,,08-09-2026 22:17:53,08-09-2026 22:17:54,0.562s,PASSED
"verifyResponseStatusCode(request, 201)",,,,08-09-2026 22:17:54,08-09-2026 22:17:54,0.004s,PASSED
